time energy 
0 0.45951
0.0005005 0.45991
0.001001 0.4603
0.0015015 0.4607
0.002002 0.4611
0.0025025 0.46149
0.003003 0.46189
0.0035035 0.46228
0.004004 0.46267
0.0045045 0.46306
0.005005 0.46345
0.0055055 0.46383
0.006006 0.46422
0.0065065 0.4646
0.007007 0.46498
0.0075075 0.46537
0.008008 0.46575
0.0085085 0.46612
0.009009 0.4665
0.0095095 0.46688
0.01001 0.46725
0.010511 0.46762
0.011011 0.468
0.011512 0.46837
0.012012 0.46874
0.012513 0.4691
0.013013 0.46947
0.013514 0.46983
0.014014 0.4702
0.014515 0.47056
0.015015 0.47092
0.015516 0.47128
0.016016 0.47164
0.016517 0.47199
0.017017 0.47235
0.017518 0.4727
0.018018 0.47305
0.018519 0.47341
0.019019 0.47375
0.01952 0.4741
0.02002 0.47445
0.020521 0.47479
0.021021 0.47514
0.021522 0.47548
0.022022 0.47582
0.022523 0.47616
0.023023 0.4765
0.023524 0.47683
0.024024 0.47717
0.024525 0.4775
0.025025 0.47783
0.025526 0.47816
0.026026 0.47849
0.026527 0.47882
0.027027 0.47914
0.027528 0.47947
0.028028 0.47979
0.028529 0.48011
0.029029 0.48043
0.02953 0.48075
0.03003 0.48107
0.030531 0.48138
0.031031 0.4817
0.031532 0.48201
0.032032 0.48232
0.032533 0.48263
0.033033 0.48294
0.033534 0.48325
0.034034 0.48355
0.034535 0.48386
0.035035 0.48416
0.035536 0.48446
0.036036 0.48476
0.036537 0.48505
0.037037 0.48535
0.037538 0.48565
0.038038 0.48594
0.038539 0.48623
0.039039 0.48652
0.03954 0.48681
0.04004 0.4871
0.040541 0.48738
0.041041 0.48767
0.041542 0.48795
0.042042 0.48823
0.042543 0.48851
0.043043 0.48879
0.043544 0.48907
0.044044 0.48934
0.044545 0.48962
0.045045 0.48989
0.045546 0.49016
0.046046 0.49043
0.046547 0.4907
0.047047 0.49096
0.047548 0.49123
0.048048 0.49149
0.048549 0.49175
0.049049 0.49201
0.04955 0.49227
0.05005 0.49253
0.050551 0.49279
0.051051 0.49304
0.051552 0.4933
0.052052 0.49355
0.052553 0.4938
0.053053 0.49405
0.053554 0.49429
0.054054 0.49454
0.054555 0.49478
0.055055 0.49503
0.055556 0.49527
0.056056 0.49551
0.056557 0.49575
0.057057 0.49599
0.057558 0.49622
0.058058 0.49646
0.058559 0.49669
0.059059 0.49692
0.05956 0.49715
0.06006 0.49738
0.060561 0.49761
0.061061 0.49783
0.061562 0.49806
0.062062 0.49828
0.062563 0.4985
0.063063 0.49872
0.063564 0.49894
0.064064 0.49916
0.064565 0.49937
0.065065 0.49959
0.065566 0.4998
0.066066 0.50002
0.066567 0.50023
0.067067 0.50043
0.067568 0.50064
0.068068 0.50085
0.068569 0.50105
0.069069 0.50126
0.06957 0.50146
0.07007 0.50166
0.070571 0.50186
0.071071 0.50206
0.071572 0.50226
0.072072 0.50245
0.072573 0.50265
0.073073 0.50284
0.073574 0.50303
0.074074 0.50322
0.074575 0.50341
0.075075 0.5036
0.075576 0.50379
0.076076 0.50397
0.076577 0.50416
0.077077 0.50434
0.077578 0.50452
0.078078 0.5047
0.078579 0.50488
0.079079 0.50506
0.07958 0.50524
0.08008 0.50541
0.080581 0.50559
0.081081 0.50576
0.081582 0.50593
0.082082 0.5061
0.082583 0.50627
0.083083 0.50644
0.083584 0.5066
0.084084 0.50677
0.084585 0.50693
0.085085 0.5071
0.085586 0.50726
0.086086 0.50742
0.086587 0.50758
0.087087 0.50774
0.087588 0.5079
0.088088 0.50805
0.088589 0.50821
0.089089 0.50836
0.08959 0.50852
0.09009 0.50867
0.090591 0.50882
0.091091 0.50897
0.091592 0.50912
0.092092 0.50926
0.092593 0.50941
0.093093 0.50956
0.093594 0.5097
0.094094 0.50984
0.094595 0.50999
0.095095 0.51013
0.095596 0.51027
0.096096 0.51041
0.096597 0.51055
0.097097 0.51068
0.097598 0.51082
0.098098 0.51095
0.098599 0.51109
0.099099 0.51122
0.0996 0.51135
0.1001 0.51149
0.1006 0.51162
0.1011 0.51175
0.1016 0.51187
0.1021 0.512
0.1026 0.51213
0.1031 0.51225
0.1036 0.51238
0.1041 0.5125
0.1046 0.51263
0.10511 0.51275
0.10561 0.51287
0.10611 0.51299
0.10661 0.51311
0.10711 0.51323
0.10761 0.51335
0.10811 0.51347
0.10861 0.51358
0.10911 0.5137
0.10961 0.51381
0.11011 0.51393
0.11061 0.51404
0.11111 0.51415
0.11161 0.51427
0.11211 0.51438
0.11261 0.51449
0.11311 0.5146
0.11361 0.51471
0.11411 0.51482
0.11461 0.51492
0.11512 0.51503
0.11562 0.51514
0.11612 0.51524
0.11662 0.51535
0.11712 0.51546
0.11762 0.51556
0.11812 0.51566
0.11862 0.51577
